USER_ID,NEED_TO_CHANGE,Rated_Jokes,Joke_0,Joke_1,Joke_2,Joke_3,Joke_4,Joke_5,Joke_6,Joke_7,Joke_8,Joke_9,Joke_10,Joke_11,Joke_12,Joke_13,Joke_14,Joke_15,Joke_16,Joke_17,Joke_18,Joke_19,Joke_20,Joke_21,Joke_22,Joke_23,Joke_24,Joke_25,Joke_26,Joke_27,Joke_28,Joke_29,Joke_30,Joke_31,Joke_32,Joke_33,Joke_34,Joke_35,Joke_36,Joke_37,Joke_38,Joke_39,Joke_40,Joke_41,Joke_42,Joke_43,Joke_44,Joke_45,Joke_46,Joke_47,Joke_48,Joke_49,Joke_50,Joke_51,Joke_52,Joke_53,Joke_54,Joke_55,Joke_56,Joke_57,Joke_58,Joke_59,Joke_60,Joke_61,Joke_62,Joke_63,Joke_64,Joke_65,Joke_66,Joke_67,Joke_68,Joke_69,Joke_70,Joke_71,Joke_72,Joke_73,Joke_74,Joke_75,Joke_76,Joke_77,Joke_78,Joke_79,Joke_80,Joke_81,Joke_82,Joke_83,Joke_84,Joke_85,Joke_86,Joke_87,Joke_88,Joke_89,Joke_90,Joke_91,Joke_92,Joke_93,Joke_94,Joke_95,Joke_96,Joke_97,Joke_98,Joke_99
1.0,1.0,100.0,0.15500000000000003,-0.345,0.655,0.15500000000000003,-0.845,-1.345,-0.345,-0.845,0.655,0.655,0.655,0.655,0.15500000000000003,0.655,0.15500000000000003,-0.345,0.15500000000000003,-0.345,0.15500000000000003,-0.345,-0.345,0.655,0.655,0.655,-0.345,0.655,0.15500000000000003,-0.345,-0.345,0.655,0.655,-0.345,0.655,0.655,-0.345,-0.345,0.655,0.15500000000000003,-0.345,0.655,0.655,-0.845,0.655,0.655,-0.845,-0.845,-0.845,-0.345,-0.345,0.15500000000000003,0.15500000000000003,0.655,-0.345,-0.345,-1.345,-0.845,0.655,-0.845,-0.345,0.655,-1.345,-0.845,-1.345,0.15500000000000003,0.15500000000000003,-0.845,0.655,-0.345,-0.345,0.655,-0.845,0.15500000000000003,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.15500000000000003,0.15500000000000003,0.15500000000000003,0.655,0.655,0.15500000000000003,-0.345,0.15500000000000003,0.15500000000000003,-0.345,0.15500000000000003,-0.845,-0.345,0.655,-0.345,-0.845,0.15500000000000003,-0.345,-0.845,-0.345
5.0,1.0,100.0,-0.39,0.10999999999999999,0.61,-0.39,-0.39,0.10999999999999999,-0.39,0.61,-0.39,0.61,-0.39,0.10999999999999999,0.10999999999999999,-0.39,0.61,-0.39,0.10999999999999999,0.10999999999999999,0.10999999999999999,-0.39,0.10999999999999999,0.61,0.10999999999999999,-0.39,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.61,-0.39,0.10999999999999999,0.61,-0.39,0.10999999999999999,0.61,0.61,-0.39,-0.39,0.10999999999999999,-0.39,-0.39,-0.39,0.61,0.61,-0.39,0.10999999999999999,-0.39,-0.39,-0.39,0.61,-0.39,-0.39,-0.39,0.10999999999999999,0.10999999999999999,0.61,-0.39,-0.39,0.10999999999999999,0.61,-0.39,0.10999999999999999,0.10999999999999999,-0.39,-0.39,-0.39,-0.39,-0.39,0.61,-0.39,-0.39,0.10999999999999999,0.10999999999999999,0.10999999999999999,-0.39,-0.39,0.10999999999999999,-0.39,-0.39,0.61,-0.39,0.10999999999999999,-0.39,-0.39,0.61,0.61,0.10999999999999999,0.61,0.10999999999999999,0.10999999999999999,0.10999999999999999,-0.39,0.61,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.61,-0.39,0.10999999999999999,0.10999999999999999
7.0,1.0,100.0,1.3,0.8,1.3,-0.7,-0.7,0.3,1.3,0.3,-0.2,-0.2,1.3,-0.7,-0.7,-0.7,0.3,-0.7,-0.7,-0.7,0.3,0.3,-0.2,-0.7,0.3,-0.7,0.8,0.3,0.8,-0.2,1.3,-0.2,0.3,1.3,0.8,-0.2,-0.2,0.3,-0.7,0.8,-0.7,0.8,-0.7,-0.2,-0.7,0.3,0.3,-0.2,-0.7,1.3,0.3,1.3,-0.2,-0.7,0.8,-0.7,-0.2,0.3,-0.2,-0.7,-0.7,0.8,-0.2,-0.7,-0.2,-0.7,-0.2,-0.7,-0.2,-0.2,-0.7,-0.2,-0.7,-0.2,0.3,-0.7,-0.7,0.3,-0.2,-0.2,-0.7,-0.7,0.8,-0.2,-0.2,-0.2,-0.7,0.3,-0.2,0.3,0.3,-0.7,1.3,0.3,0.3,-0.2,-0.2,-0.2,0.8,0.3,0.3,0.3
8.0,1.0,100.0,-0.39,-0.39,-0.89,-0.89,-0.89,0.11,-0.39,-0.89,-0.89,0.11,-0.39,0.11,-0.39,0.11,-0.89,-0.89,-0.89,-0.39,-0.39,0.11,0.61,0.11,0.11,0.11,0.61,0.61,0.61,0.61,0.11,0.11,1.11,0.11,0.11,0.61,0.61,0.11,-0.39,0.11,0.61,-0.39,0.11,0.11,-0.39,-0.89,0.11,0.61,0.11,0.11,0.11,0.11,-0.89,-0.39,1.11,0.11,0.61,0.11,0.11,-0.39,-0.89,-0.39,0.11,0.61,0.11,-0.89,0.61,0.61,0.61,0.11,1.11,0.11,-0.39,0.61,-0.39,-0.89,0.11,0.11,0.11,0.11,0.11,0.11,0.11,-0.39,0.11,-0.39,-0.39,0.11,0.11,0.61,0.61,-0.39,0.61,0.11,0.61,0.11,0.11,0.11,0.11,0.11,-0.39,-0.39
11.0,1.0,100.0,-0.04,-0.04,0.46,-0.54,-0.04,-0.04,-0.04,0.46,-1.04,-0.04,0.46,-0.04,0.46,-0.54,-0.04,-0.54,0.46,-0.04,-0.04,-0.04,0.46,-0.04,-0.54,-0.54,-0.04,-0.04,0.96,-0.04,0.46,-0.54,-0.04,0.46,-0.04,-0.54,0.96,0.46,0.46,-0.04,-0.04,-0.54,-0.04,0.46,-0.54,-0.54,-0.04,-0.04,0.46,-0.04,0.46,0.96,0.46,-0.04,-0.54,-0.04,-0.04,-0.04,-1.04,-0.54,-0.04,-0.54,-0.04,-0.04,-0.04,-0.54,0.46,-0.54,-0.54,-0.04,-0.04,-0.54,-0.54,-0.04,-0.04,-0.04,0.46,0.46,-0.54,0.46,-0.04,0.46,-0.04,-0.04,-0.54,-0.04,-0.04,-0.04,-0.04,0.46,0.96,-0.54,-0.04,-0.04,-0.04,-0.54,0.46,0.46,0.46,0.46,0.46,0.46
13.0,1.0,100.0,0.49,0.49,0.49,0.49,0.49,-0.51,-0.010000000000000009,0.49,-0.010000000000000009,0.49,-0.010000000000000009,-0.010000000000000009,0.49,0.49,-0.51,-1.51,-0.010000000000000009,-1.51,-0.010000000000000009,-1.51,0.49,0.49,0.49,0.49,0.49,-0.010000000000000009,0.49,-0.51,0.49,-1.51,0.49,0.49,-0.51,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.010000000000000009,-1.01,0.49,-0.51,-0.51,-0.010000000000000009,0.49,0.49,0.49,0.49,0.49,0.49,-1.51,0.49,0.49,-0.010000000000000009,-1.51,-1.51,0.49,0.49,0.49,-1.01,-1.51,-1.51,0.49,-1.51,0.49,-0.51,0.49,-1.51,0.49,-0.010000000000000009,0.49,-1.51,0.49,0.49,-1.51,0.49,-0.51,0.49,0.49,-0.010000000000000009,0.49,0.49,-0.010000000000000009,0.49,-0.51,-0.010000000000000009,0.49,-0.010000000000000009,-1.01,0.49,0.49,-1.51,0.49
14.0,1.0,100.0,1.06,-0.44,1.06,0.56,1.06,-0.44,1.06,1.06,-0.44,1.06,-0.44,-0.94,-0.94,0.06,-0.44,0.56,0.56,-0.94,-0.94,0.06,0.56,-0.94,0.06,-0.44,0.56,-0.44,-0.94,0.06,0.56,-0.44,-0.44,0.56,-0.44,-0.94,-0.94,1.06,-0.44,-0.94,0.06,0.56,0.56,-0.44,1.06,-0.44,-0.94,-0.44,-0.44,1.06,0.56,-0.94,1.06,-0.94,-0.94,0.06,-0.44,-0.44,-0.94,-0.94,-0.44,1.06,-0.94,-0.94,1.06,0.06,0.56,0.56,1.06,0.06,-0.44,-0.94,0.56,0.06,0.56,0.56,0.56,0.56,0.06,-0.44,-0.44,-0.94,1.06,0.56,0.56,0.56,0.06,0.06,0.56,0.06,1.06,0.06,0.56,-0.44,-0.94,1.06,-0.94,-0.44,1.06,-0.44,-0.44,-0.44
15.0,1.0,100.0,-0.455,0.045,0.545,-0.455,0.545,-0.455,-0.455,0.045,0.545,0.045,0.045,0.545,-0.455,0.545,0.545,0.045,0.045,-0.455,-0.955,0.045,0.545,0.045,-0.455,-0.455,-0.455,-0.455,0.545,0.045,0.545,-0.455,0.045,0.045,0.545,1.045,0.545,0.545,-0.955,0.045,0.045,0.045,0.045,-0.455,-0.955,-0.455,-0.455,0.545,0.045,-0.455,0.545,0.545,0.545,0.545,-0.955,0.045,0.045,0.545,-0.455,-0.955,0.545,-0.455,0.045,0.045,-0.455,-0.455,1.045,0.545,-0.455,1.045,0.545,-0.455,0.545,-0.455,-0.455,-0.455,-0.455,-0.455,0.045,0.545,-0.455,-0.455,-0.955,-0.455,1.045,-0.455,0.045,-0.955,0.045,0.045,0.545,-0.455,0.545,0.045,0.045,-0.455,1.045,0.045,0.545,0.545,-0.455,0.545
17.0,1.0,100.0,0.03999999999999998,0.54,0.03999999999999998,0.54,0.03999999999999998,0.54,0.03999999999999998,-0.46,-0.46,-0.46,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,-0.46,-0.46,-0.46,0.03999999999999998,-0.46,-0.46,-0.46,0.03999999999999998,-0.46,0.03999999999999998,0.03999999999999998,0.54,-0.46,0.54,0.03999999999999998,-0.46,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.54,-0.46,-0.96,-0.46,0.03999999999999998,-0.46,0.03999999999999998,0.54,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,-0.46,0.03999999999999998,0.03999999999999998,0.03999999999999998,-0.46,0.54,-0.46,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.54,0.03999999999999998,0.03999999999999998,0.03999999999999998,-0.46,0.03999999999999998,0.03999999999999998,-0.46,0.03999999999999998,0.54,0.54,0.54,0.54,0.54,0.54,0.03999999999999998,0.54,0.54,0.03999999999999998,-0.46,0.54,-0.46,0.54,0.03999999999999998,-0.46,0.03999999999999998,0.03999999999999998,-0.46,-0.46,0.03999999999999998,-0.46,0.54,-0.46,0.54
23.0,1.0,100.0,0.38,-1.12,0.38,-1.12,-1.12,0.38,-0.62,-0.62,-1.12,0.38,-0.12,0.38,-1.12,-0.12,-1.12,-0.62,-0.12,-0.12,-0.12,-0.12,0.38,-0.62,-0.12,-0.62,-0.12,0.38,0.38,-0.12,-0.12,-0.12,-0.12,0.38,-1.12,-0.12,-0.12,-0.62,-1.12,-0.12,0.38,-1.12,-0.12,-0.12,-0.12,-0.62,-0.12,-0.12,-0.12,0.38,-0.12,0.38,-1.12,-0.12,0.38,0.38,-0.62,-0.12,-1.12,-1.12,-0.12,-0.62,0.38,-0.12,-0.12,-0.62,0.88,0.38,-0.62,0.38,0.88,-0.62,0.88,0.88,-0.12,0.38,-0.12,0.88,0.38,0.88,0.88,0.38,0.88,0.38,0.38,0.88,0.38,0.38,0.88,0.88,0.88,0.38,0.38,0.88,0.88,-1.12,0.88,0.88,0.88,0.88,0.88,-1.12
